NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,
t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm)
0.5521,17.172,,,0.515,13.136,,,1.0208,24.415,,,1,24.977,,,1,32.11,,,0.465,3.858
0.5625,17.17,,,0.5208,13.205,,,1.0417,24.39,,,1.0208,24.965,,,1.0208,32.078,,,0.4721,3.8733
0.5833,17.158,,,0.5273,13.219,,,1.0625,24.365,,,1.0417,24.954,,,1.0417,32.048,,,0.4792,3.8886
0.6042,17.146,,,0.5345,13.235,,,1.0833,24.34,,,1.0625,24.942,,,1.0625,32.017,,,0.4861,3.9053
0.62,17.136,,,0.5417,13.25,,,1.085,24.339,,,1.0833,24.931,,,1.0833,31.986,,,0.4931,3.9219
0.625,17.134,,,0.5481,13.249,,,1.1042,24.316,,,1.085,24.93,,,1.085,31.984,,,0.5,3.9386
0.6458,17.122,,,0.5553,13.248,,,1.125,24.293,,,1.1042,24.92,,,1.1042,31.955,,,0.5,3.9386
0.6667,17.11,,,0.5625,13.247,,,1.1458,24.269,,,1.125,24.909,,,1.125,31.923,,,0.5035,3.9373
0.6771,17.116,,,0.5729,13.241,,,1.1667,24.245,,,1.1458,24.898,,,1.1458,31.892,,,0.5069,3.9361
0.6875,17.123,,,0.5833,13.235,,,1.1875,24.222,,,1.1667,24.887,,,1.1667,31.861,,,0.5116,3.9344
0.7083,17.111,,,0.6042,13.223,,,1.2083,24.198,,,1.1875,24.876,,,1.1875,31.83,,,0.5162,3.9326
0.7188,17.115,,,0.62,13.214,,,1.2292,24.175,,,1.2083,24.865,,,1.2083,31.799,,,0.5208,3.9309
0.7292,17.118,,,0.625,13.211,,,1.24,24.163,,,1.2292,24.855,,,1.2292,31.768,,,0.5208,3.9309
0.7396,17.192,,,0.625,13.211,,,1.25,24.152,,,1.24,24.849,,,1.24,31.752,,,0.5278,3.9284
0.75,17.266,,,0.6458,13.199,,,1.2708,24.128,,,1.25,24.844,,,1.25,31.737,,,0.5324,3.9267
0.7708,17.256,,,0.6562,13.193,,,1.2917,24.104,,,1.2708,24.832,,,1.2708,31.707,,,0.5417,3.9271
0.775,17.254,,,0.6667,13.187,,,1.3125,24.081,,,1.2917,24.821,,,1.2917,31.676,,,0.5451,3.9276
0.7917,17.247,,,0.6771,13.194,,,1.3333,24.058,,,1.3125,24.81,,,1.3125,31.645,,,0.5471,3.9268
0.8125,17.237,,,0.6875,13.2,,,1.3542,24.035,,,1.3333,24.798,,,1.3333,31.614,,,0.5497,3.9257
0.8333,17.228,,,0.7083,13.189,,,1.375,24.013,,,1.3542,24.787,,,1.3542,31.584,,,0.5523,3.9246
0.8542,17.219,,,0.7187,13.192,,,1.395,23.993,,,1.375,24.777,,,1.375,31.554,,,0.5557,3.9231
0.875,17.21,,,0.7292,13.196,,,1.3958,23.992,,,1.395,24.768,,,1.395,31.526,,,0.5591,3.9216
0.8958,17.2,,,0.7396,13.27,,,1.4167,23.971,,,1.3958,24.768,,,1.3958,31.524,,,0.5625,3.9201
0.9167,17.19,,,0.75,13.345,,,1.4375,23.949,,,1.4167,24.758,,,1.3958,31.524,,,0.5677,3.9179
0.93,17.184,,,0.7604,13.34,,,1.4583,23.927,,,1.4375,24.747,,,1.4167,31.496,,,0.5755,3.9146
0.9375,17.18,,,0.7708,13.335,,,1.4792,23.905,,,1.4583,24.737,,,1.4375,31.467,,,0.5833,3.9112
0.9583,17.17,,,0.775,13.333,,,1.5,23.887,,,1.4792,24.726,,,1.4583,31.438,,,0.5937,3.9069
0.9792,17.161,,,0.7917,13.326,,,1.5208,23.867,,,1.5,24.719,,,1.4687,31.428,,,0.6042,3.9026
1,17.152,,,0.8125,13.317,,,1.5417,23.846,,,1.5208,24.709,,,1.4792,31.419,,,0.62,3.896
