NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,,
t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),cum. Flux (cm)
1.0208,0,,,0.8333,0,,,1.55,0,,,1.5417,0,,,1.5,0,,,0.625,0,18.402
1.0417,0,,,0.8542,0,,,1.5625,0,,,1.55,0,,,1.5208,0,,,0.6285,0,18.402
1.0625,0,,,0.875,0,,,1.5833,0,,,1.5625,0,,,1.5417,0,,,0.6328,0,18.402
1.0833,0,,,0.8958,0,,,1.6042,0,,,1.5833,0,,,1.55,0,,,0.6393,0,18.402
1.085,0,,,0.9167,0,,,1.625,0,,,1.6042,0,,,1.5625,0,,,0.6458,0,18.402
1.1042,0,,,0.93,0,,,1.6458,0,,,1.625,0,,,1.5833,0,,,0.651,0,18.402
1.125,0,,,0.9375,0,,,1.6667,0,,,1.6458,0,,,1.6042,0,,,0.6589,0,18.402
1.1458,0,,,0.9583,0,,,1.6875,0,,,1.6667,0,,,1.625,0,,,0.6667,0,18.402
1.1667,0,,,0.9792,0,,,1.705,0,,,1.6875,0,,,1.6458,0,,,0.6771,0,18.402
1.1875,0,,,1,0,,,1.7292,0,,,1.705,0,,,1.6667,0,,,0.6875,0,18.402
1.2083,0,,,1.0208,0,,,1.75,0,,,1.7292,0,,,1.6875,0,,,0.6979,0,18.402
1.2292,0,,,1.0417,0,,,1.7708,0,,,1.75,0,,,1.705,0,,,0.7083,0,18.402
1.24,0,,,1.0625,0,,,1.7917,0,,,1.7708,0,,,1.7083,0,,,0.7292,0,18.402
1.25,0,,,1.0833,0,,,1.8125,0,,,1.7917,0,,,1.7292,0,,,0.7396,0,18.402
1.2708,0,,,1.085,0,,,1.8333,0,,,1.8125,0,,,1.75,0,,,0.7431,0,18.402
1.2917,0,,,1.1042,0,,,1.86,0,,,1.8333,0,,,1.7708,0,,,0.7465,0,18.402
1.3125,0,,,1.125,0,,,1.875,0,,,1.86,0,,,1.7917,0,,,0.75,0,18.402
1.3333,0,,,1.1458,0,,,1.8958,0,,,1.875,0,,,1.8125,0,,,0.75,0,18.402
1.3542,0,,,1.1667,0,,,1.9167,0,,,1.8958,0,,,1.8333,0,,,0.752,0,18.402
1.375,0,,,1.1875,0,,,1.9375,0,,,1.9167,0,,,1.8542,0,,,0.7547,0,18.402
1.395,0,,,1.2083,0,,,1.9583,0,,,1.9375,0,,,1.86,0,,,0.7579,0,18.402
1.3958,0,,,1.2292,0,,,1.9792,0,,,1.9583,0,,,1.875,0,,,0.7622,0,18.402
1.3958,0,,,1.24,0,,,2,0,,,1.9792,0,,,1.8958,0,,,0.7665,0,18.402
1.4167,0,,,1.25,0,,,2.015,0,,,2,0,,,1.9167,0,,,0.7708,0,18.402
1.4375,0,,,1.2708,0,,,2.0208,0,,,2.015,0,,,1.9375,0,,,0.7708,0,18.402
1.4583,0,,,1.2917,0,,,2.0208,0,,,2.0208,0,,,1.9583,0,,,0.775,0,18.402
1.4792,0,,,1.3125,0,,,2.0417,0,,,2.0208,0,,,1.9792,0,,,0.7806,0,18.402
1.5,0,,,1.3333,0,,,2.0625,0,,,2.0417,0,,,2,0,,,0.7917,0,18.402
1.5104,0,,,1.3542,0,,,2.0833,0,,,2.0625,0,,,2.015,0,,,0.8021,0,18.402
1.5208,0,,,1.375,0,,,2.1042,0,,,2.0833,0,,,2.0208,0,,,0.8125,0,18.402
1.5417,0,,,1.395,0,,,2.125,0,,,2.1042,0,,,2.0417,0,,,0.8229,0,18.402
1.55,0,,,1.3958,0,,,2.1458,0,,,2.125,0,,,2.0625,0,,,0.8333,0,18.402
1.5625,0,,,1.3958,0,,,2.1667,0,,,2.1458,0,,,2.0833,0,,,0.8542,0,18.402
1.5833,0,,,1.4167,0,,,2.17,0,,,2.1667,0,,,2.1042,0,,,0.875,0,18.402
1.6042,0,,,1.4375,0,,,2.1875,0,,,2.17,0,,,2.125,0,,,0.8819,0,18.402
1.625,0,,,1.4583,0,,,2.2083,0,,,2.1875,0,,,2.1458,0,,,0.8889,0,18.402
1.6458,0,,,1.4792,0,,,2.2292,0,,,2.2083,0,,,2.1667,0,,,0.8958,0,18.402
1.6667,0,,,1.5,0,,,2.25,0,,,2.2292,0,,,2.17,0,,,0.9063,0,18.402
1.6875,0,,,1.5208,0,,,2.2708,0,,,2.25,0,,,2.1875,0,,,0.9167,0,18.402
1.705,0,,,1.5417,0,,,2.2917,0,,,2.2708,0,,,2.2083,0,,,0.93,0,18.402
1.7083,0,,,1.55,0,,,2.325,0,,,2.2917,0,,,2.2292,0,,,0.9375,0,18.402
1.7083,0,,,1.5625,0,,,2.3333,0,,,2.325,0,,,2.25,0,,,0.9583,0,18.402
1.7292,0,,,1.5833,0,,,2.3542,0,,,2.3333,0,,,2.2708,0,,,0.9792,0,18.402
1.75,0,,,1.6042,0,,,2.375,0,,,2.3542,0,,,2.2917,0,,,1,0,18.402
1.7708,0,,,1.625,0,,,2.3958,0,,,2.375,0,,,2.3125,0,,,1.0208,0,18.402
1.7917,0,,,1.6458,0,,,2.4167,0,,,2.3958,0,,,2.325,0,,,1.0278,0,18.402
1.8125,0,,,1.6667,0,,,2.4375,0,,,2.4167,0,,,2.3333,0,,,1.0347,0,18.402
1.8333,0,,,1.6875,0,,,2.4583,0,,,2.4375,0,,,2.3542,0,,,1.0417,0,18.402
1.8542,0,,,1.705,0,,,2.4792,0,,,2.4583,0,,,2.375,0,,,1.0417,0,18.402
1.86,0,,,1.7083,0,,,2.48,0,,,2.4792,0,,,2.3958,0,,,1.0451,0,18.402
1.875,0,,,1.7083,0,,,2.5208,0,,,2.48,0,,,2.4167,0,,,1.0495,0,18.402
1.8958,0,,,1.7292,0,,,2.5417,0,,,2.5208,0,,,2.4375,0,,,1.056,0,18.402
1.9167,0,,,1.75,0,,,2.5625,0,,,2.5417,0,,,2.4583,0,,,1.0625,0,18.402
1.9375,0,,,1.7708,0,,,2.5833,0,,,2.5625,0,,,2.4792,0,,,1.0625,0,18.402
1.9583,0,,,1.7917,0,,,2.6042,0,,,2.5833,0,,,2.48,0,,,1.0694,0,18.402
1.9792,0,,,1.8125,0,,,2.625,0,,,2.6042,0,,,2.5,0,,,1.0833,0,18.402
2,0,,,1.8333,0,,,2.635,0,,,2.625,0,,,2.5208,0,,,1.085,0,18.402
2.015,0,,,1.8542,0,,,2.6458,0,,,2.635,0,,,2.5417,0,,,1.0914,0,18.402
2.0208,0,,,1.86,0,,,2.6667,0,,,2.6458,0,,,2.5625,0,,,1.0978,0,18.402
2.0417,0,,,1.875,0,,,2.6875,0,,,2.6667,0,,,2.5833,0,,,1.1042,0,18.402
2.0625,0,,,1.8958,0,,,2.7292,0,,,2.6875,0,,,2.6042,0,,,1.1146,0,18.402
2.0833,0,,,1.9167,0,,,2.75,0,,,2.7292,0,,,2.625,0,,,1.125,0,18.402
2.1042,0,,,1.9375,0,,,2.7708,0,,,2.75,0,,,2.635,0,,,1.1458,0,18.402
2.125,0,,,1.9583,0,,,2.79,0,,,2.7708,0,,,2.6458,0,,,1.1667,0,18.402
2.1458,0,,,1.9792,0,,,2.7917,0,,,2.79,0,,,2.6667,0,,,1.1875,0,18.402
2.1563,0,,,2,0,,,2.8125,0,,,2.7917,0,,,2.6875,0,,,1.2083,0,18.402
2.1667,0,,,2.015,0,,,2.8333,0,,,2.8125,0,,,2.7083,0,,,1.2292,0,18.402
2.17,0,,,2.0208,0,,,2.8542,0,,,2.8333,0,,,2.7292,0,,,1.24,0,18.402
2.1875,0,,,2.0417,0,,,2.875,0,,,2.8542,0,,,2.75,0,,,1.25,0,18.402
2.2083,0,,,2.0625,0,,,2.8958,0,,,2.875,0,,,2.7708,0,,,1.2708,0,18.402
2.2292,0,,,2.0833,0,,,2.9167,0,,,2.8958,0,,,2.79,0,,,1.2917,0,18.402
2.25,0,,,2.1042,0,,,2.9375,0,,,2.9167,0,,,2.7917,0,,,1.2986,0,18.402
2.2708,0,,,2.125,0,,,2.945,0,,,2.9375,0,,,2.8125,0,,,1.3009,0,18.402
2.2917,0,,,2.1458,0,,,2.9583,0,,,2.945,0,,,2.8333,0,,,1.3038,0,18.402
2.3125,0,,,2.1667,0,,,2.9792,0,,,2.9583,0,,,2.8542,0,,,1.3082,0,18.402
2.325,0,,,2.17,0,,,3,0,,,2.9792,0,,,2.875,0,,,1.3125,0,18.402
